Institute,Homepage,Color
Agroscope,https://www.agroscope.admin.ch,#267847
Empa,https://www.empa.ch/,#be0000
ETHZ,https://ethz.ch/,#000000
PSI,https://www.psi.ch/,#ab9e7e
UniBas / UKBB,https://www.unibas.ch/,#a5d7d2
USZ,https://www.usz.ch/,#5a7a83
UZH,https://www.uzh.ch/,#3353b7
