Institute,Homepage,Color
ICB,https://www.chab.ethz.ch/en/research/institutes/ICB.html,#829255
IPW,https://www.chab.ethz.ch/en/research/institutes/IPW.html,#0d3d56
LAC,https://www.chab.ethz.ch/en/research/institutes/LAC.html,#f16c20
LOC,https://www.chab.ethz.ch/en/research/institutes/LOC.html,#cd5849
LPC,https://www.chab.ethz.ch/en/research/institutes/LPC.html,#d5b63d
